,id,description,direction_destinations,direction_names,long_name,short_name,type
148,245,Local Bus,"['Quincy Center Station', 'Mattapan Station']","['Outbound', 'Inbound']",Quincy Center Station - Mattapan Station,245,3
149,350,Local Bus,"['North Burlington', 'Alewife Station']","['Outbound', 'Inbound']",North Burlington - Alewife Station,350,3
150,351,Commuter Bus,"['Bedford Woods Drive', 'Third Avenue']","['Outbound', 'Inbound']",Bedford Woods Drive - Third Avenue,351,3
151,354,Commuter Bus,"['North Burlington', 'State Street, Boston']","['Outbound', 'Inbound']","North Burlington - State Street, Boston",354,3
152,411,Local Bus,"['Kennedy Drive or Jack Satter House', 'Malden Center Station']","['Outbound', 'Inbound']",Kennedy Drive or Jack Satter House - Malden Center Station,411,3
153,424,Commuter Bus,"['Eastern Avenue & Essex Street', 'Wonderland Station']","['Outbound', 'Inbound']",Eastern Avenue & Essex Street - Wonderland Station,424,3
154,426,Local Bus,"['Central Square, Lynn', 'Haymarket or Wonderland Station']","['Outbound', 'Inbound']","Central Square, Lynn - Haymarket or Wonderland Station",426,3
155,428,Commuter Bus,"['Oaklandvale', 'Haymarket Station']","['Outbound', 'Inbound']",Oaklandvale - Haymarket Station,428,3
156,429,Local Bus,"['Northgate Shopping Center', 'Central Square, Lynn']","['Outbound', 'Inbound']","Northgate Shopping Center - Central Square, Lynn",429,3
157,430,Local Bus,"['Saugus Center', 'Malden Center Station']","['Outbound', 'Inbound']",Saugus Center - Malden Center Station,430,3
158,435,Local Bus,"['Liberty Tree Mall', 'Central Square, Lynn']","['Outbound', 'Inbound']","Liberty Tree Mall - Central Square, Lynn via Peabody Square",435,3
159,436,Local Bus,"['Liberty Tree Mall', 'Central Square, Lynn']","['Outbound', 'Inbound']","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",436,3
160,439,Commuter Bus,"['Nahant', 'Wonderland Station']","['Outbound', 'Inbound']",Nahant - Wonderland Station,439,3
161,441,Local Bus,"['Marblehead', 'Wonderland Station']","['Outbound', 'Inbound']",Marblehead - Wonderland Station via Paradise Road,441,3
162,442,Local Bus,"['Marblehead', 'Wonderland Station']","['Outbound', 'Inbound']",Marblehead - Wonderland Station via Humphrey Street,442,3
163,450,Local Bus,"['Salem Depot', 'Wonderland or Haymarket Station']","['Outbound', 'Inbound']",Salem Depot - Wonderland or Haymarket Station,450,3
164,451,Commuter Bus,"['North Beverly Station', 'Salem Depot']","['Outbound', 'Inbound']",North Beverly Station - Salem Depot,451,3
165,455,Local Bus,"['Salem Depot', 'Wonderland Station']","['Outbound', 'Inbound']",Salem Depot - Wonderland Station,455,3
166,456,Local Bus,"['Salem Depot', 'Central Square, Lynn']","['Outbound', 'Inbound']","Salem Depot - Central Square, Lynn",456,3
167,501,Commuter Bus,"['Brighton Center', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Brighton Center - Federal Street & Franklin Street,501,3
168,504,Commuter Bus,"['Watertown Yard', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Watertown Yard - Federal Street & Franklin Street,504,3
169,505,Commuter Bus,"['Waltham Center', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Waltham Center - Federal Street & Franklin Street,505,3
170,553,Local Bus,"['Roberts', 'Newton Corner']","['Outbound', 'Inbound']",Roberts - Newton Corner,553,3
171,554,Local Bus,"['Waverley Square', 'Newton Corner']","['Outbound', 'Inbound']",Waverley Square - Newton Corner,554,3
172,556,Commuter Bus,"['Waltham Highlands', 'Newton Corner']","['Outbound', 'Inbound']",Waltham Highlands - Newton Corner,556,3
173,558,Commuter Bus,"['Riverside Station', 'Newton Corner']","['Outbound', 'Inbound']",Riverside Station - Newton Corner,558,3
174,712,Local Bus,"['Point Shirley', 'Orient Heights Station']","['Outbound', 'Inbound']",Point Shirley - Orient Heights Station via Revere Street,712,3
175,713,Local Bus,"['Point Shirley', 'Orient Heights Station']","['Outbound', 'Inbound']",Point Shirley - Orient Heights Station via Winthrop Center,713,3
176,714,Local Bus,"['Pemberton Point, Hull', 'Station Street, Hingham']","['Outbound', 'Inbound']","Pemberton Point, Hull - Station Street, Hingham",714,3
177,716,Local Bus,"['Cobbs Corner', 'Mattapan Station']","['Outbound', 'Inbound']",Cobbs Corner - Mattapan Station,716,3
